                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0295,                 10.045,                 2.3033,                0.00583,                      1,                0.51959,                0.30284,                  2.197,                 10.941,                 2.9901,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.7683,                 8.7869,                 2.1856,                0.00583,                      1,                0.72731,                0.48469,                 2.0973,                 10.786,                 2.9796,             0.00017822,             0.00017822,             0.00017822
                      3,                 1.8444,                 7.5674,                 2.1648,                0.00583,                      1,                0.55046,                0.33017,                 2.1146,                 10.685,                 2.7378,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.8729,                 7.0866,                 2.2304,                0.00583,                      1,                0.38253,                0.26731,                  1.758,                 10.324,                 2.4278,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.6863,                 6.8476,                 2.2145,                0.00583,                      1,                0.50555,                0.32826,                 1.8756,                  10.65,                 2.8126,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.8639,                 6.5261,                 2.1704,                0.00583,                      1,                0.64318,                0.39722,                  2.496,                 10.825,                 3.4477,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.8298,                 6.2747,                  2.126,                0.00583,                      1,                  0.627,                 0.3878,                 2.0523,                 10.514,                  2.631,             0.00063961,             0.00063961,             0.00063961
                      8,                  1.858,                 5.9599,                 2.1443,                0.00583,                      1,                0.63802,                0.46757,                 2.0373,                 10.308,                 2.6474,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.8894,                 6.0017,                 2.1686,                0.00583,                      1,                0.67661,                0.50871,                 1.7019,                 9.9494,                 3.0986,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.9188,                   5.99,                 2.1938,                0.00583,                      1,                0.74461,                0.47851,                 2.2126,                 9.9437,                 3.5433,             0.00089268,             0.00089268,             0.00089268
                     11,                 1.7892,                 5.4286,                 2.0701,                0.21184,                0.71429,                0.39554,                0.20733,                 1.9742,                  9.991,                  3.717,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.9869,                 5.1919,                 2.1852,                0.75583,                0.42857,                0.58824,                0.37543,                 1.7995,                 9.6074,                 2.6747,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.9731,                   5.29,                 2.1586,                0.86046,                0.42857,                0.65256,                0.38663,                 1.5821,                 9.4992,                 2.6967,              0.0011279,              0.0011279,              0.0011279
                     14,                 2.0154,                  5.188,                 2.1851,                0.75855,                0.45299,                0.71464,                0.53532,                 2.0328,                 8.7886,                 2.9123,              0.0012024,              0.0012024,              0.0012024
                     15,                  2.002,                 4.9634,                  2.136,                0.81257,                0.42857,                0.63222,                0.47967,                 1.7212,                 8.8589,                 2.7679,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.8601,                 5.0446,                 2.0821,                0.70974,                0.42857,                0.69955,                0.54716,                 1.7184,                 8.5253,                 2.8459,              0.0013454,              0.0013454,              0.0013454
